Year,Sample,Enclosure,CB,NV,WY,UT
2012,Athens,SE,0.4318,0.5423,0.0237,0.002
2012,Indigoa,SE,0.0658,0.8851,0.0435,0.0055
2012,Lisa,SE,0.0319,0.9444,0.0199,0.0039
2012,Bradley,SE,0.0248,0.9626,0.0076,0.0055
2012,Buddy,SE,0.0174,0.9355,0.0422,0.0049
2012,Notch,SE,0.103,0.8809,0.0087,0.0071
2012,Pandapple,SE,0.6825,0.3071,0.0072,0.0035
2012,Pierre,SE,0.0214,0.9528,0.022,0.0041
2012,Tularoo,SE,0.0144,0.1085,0.0072,0.8698
2013,dead131220S,SE,0.065625,0.7975,0.122125,0.014875
2013,SBFSE201,SE,0.0795,0.679,0.1265,0.114875
2013,SBFSE202,SE,0.03975,0.589,0.1135,0.257875
2013,SBFSE203,SE,0.07875,0.865875,0.04025,0.015
2013,SBFSE204,SE,0.28475,0.55925,0.138,0.017875
2013,SBFSE205,SE,0.350375,0.46825,0.047875,0.1335
2013,SBFSE206,SE,0.144375,0.7955,0.0325,0.02775
2013,SBFSE207,SE,0.051875,0.629625,0.037875,0.28075
2013,SBFSE208,SE,0.086625,0.686625,0.198625,0.028125
2013,SBFSE209,SE,0.3425,0.5605,0.018125,0.079
2013,SBFSE210,SE,0.1445,0.724125,0.034125,0.097
2013,SBFSE211,SE,0.420125,0.400875,0.162125,0.01675
2013,SBFSE212,SE,0.08425,0.799875,0.087125,0.0285
2013,SBFSE213,SE,0.056375,0.832875,0.086875,0.023875
2013,SBFSE214,SE,0.04575,0.801,0.12225,0.031
2013,SBFSE215,SE,0.31475,0.51675,0.116125,0.0525
2013,SBFSE216,SE,0.18075,0.704,0.0295,0.085625
2013,SBFSE217,SE,0.126625,0.497,0.069375,0.306875
2013,SBFSE218,SE,0.106125,0.837,0.030125,0.026625
2013,SBFSE219,SE,0.22325,0.71225,0.046375,0.018125
2013,SBFSE220,SE,0.284375,0.63625,0.05925,0.019875
2013,SBFSE221,SE,0.028625,0.8675,0.068375,0.0355
2013,SBFSE222,SE,0.046,0.597,0.032875,0.323875
2013,SBFSE223,SE,0.029625,0.730125,0.145625,0.094625
2013,SBFSE224,SE,0.391875,0.491,0.10225,0.014875
2013,SBFSE225,SE,0.078625,0.611625,0.290125,0.019875
2013,SBFSE226,SE,0.22725,0.566375,0.16825,0.038375
2013,SBFSE227,SE,0.32975,0.61,0.022125,0.03825
2013,SBFSE228,SE,0.261875,0.608375,0.113,0.016875
2013,SBFSE229,SE,0.2115,0.531375,0.2315,0.025375
2013,SBFSE230,SE,0.290125,0.5975,0.097625,0.014875
2013,SBFSE231,SE,0.191125,0.588625,0.204,0.01625
2013,SBFSE232,SE,0.0375,0.834375,0.085375,0.04275
2013,SBFSE233,SE,0.069875,0.805125,0.056125,0.069125
2013,SBFSE234,SE,0.03075,0.539125,0.401375,0.028625
2013,SBFSE235,SE,0.110125,0.677625,0.02725,0.185125
2013,SBFSE236,SE,0.234,0.328,0.180875,0.257
2013,SBFSE237,SE,0.062625,0.706875,0.20275,0.027875
