RELEASE_YEAR	SAMPLE	Detections	Release_Date	Weight	CB_ANCESTRY	HL	Sex
2016	BE1234	0	153	141	0.276888889	0.273389328	1
2016	DE702	0	154	385	0.292111111	0.419728921	2
2016	DE703	0	154	387	0.405	0.290038787	2
2016	DE704	0	154	347	0.284111111	0.234053204	2
2016	DE701	0	154	174	0.347333333	0.30412935	1
2012	SBFSE025	1	156	130	0.0795	0.269243525	1
2014	SBFLE462	0	155	358	0.495222222	0.337333862	1
2012	SBFLE018	1	156	187	0.001	0.172001454	2
2012	SBFSE045	1	156	204	0.1012	0.137129487	1
2012	SBFLE032	1	156	135	0.0009	0.410799203	2
2012	SBFSE029	2	156	130	0.7978	0.330741686	1
2012	SBFSE038	0	156	140	0.3584	0.113643408	2
2012	SBFSE060	0	156	154	0.0329	0.182045164	2
2014	SBFLE471	0	155	446	0.174444444	0.049707001	2
2012	SBFLE033	0	156	125	0.0018	0.25019446	2
2012	SBFLE034	0	156	150	0.0007	0.297245112	1
2012	SBFLE035	1	156	134	0.0018	0.124462664	1
2012	SBFLE036	0	156	265	0.0048	0.113441486	2
2012	SBFLE037	2	156	230	0.0031	0.306455045	1
2012	SBFLE038	0	156	153	0.0017	0.189136606	2
2012	SBFLE039	1	156	190	0.0082	0.054300087	1
2012	SBFLE040	1	156	190	0.0075	0.292330639	2
2012	SBFSE046	0	156	317	0.5128	0.235132474	2
2012	SBFSE047	1	156	235	0.0144	0.389641927	2
2012	SBFSE048	1	156	222	0.0195	0.239974142	1
2012	SBFSE061	0	156	134	0.6113	0.560216242	2
2014	SBFLE463	0	155	164	0.048	0.188499141	1
2014	SBFLE464	2	155	416	0.473444444	0.191679854	2
2014	SBFLE465	0	155	413	0.017555556	0.296053346	2
2014	SBFLE466	0	155	200	0.153444444	0.250135827	2
2014	SBFLE467	0	155	181	0.090777778	0.182654371	2
2014	SBFLE468	0	155	339	0.1	0.293626358	2
2014	SBFLE469	0	155	458	0.573222222	0.155940436	2
2014	SBFLE472	0	155	330	0.064888889	0.22337012	1
2014	SBFLE473	0	155	262	0.111666667	0.172104219	2
2014	SBFLE474	0	155	175	0.305	0.170382911	1
2014	SBFLE475	0	155	249	0.312666667	0.187247348	1
2014	SBFLE476	0	155	367	0.016444444	0.180721755	1
2014	SBFLE477	0	155	248	0.393666667	0.182082274	2
2014	SBFLE478	0	155	255	0.047444444	0.399186271	2
2014	SBFLE479	0	155	368	0.141888889	0.105565988	1
2014	SBFLE480	0	155	466	0.061777778	0.120639559	1
2014	SBFLE481	0	155	405	0.132555556	0.322860351	2
2014	SBFLE482	0	155	386	0.055555556	0.178505366	1
2014	SBFLE483	0	155	282	0.381	0.162291346	1
2014	SBFLE484	0	155	187	0.043444444	0.17060507	2
2014	SBFLE485	0	155	192	0.117666667	0.118916046	1
2015	BE0773	0	155	103	0.0999	0.163832921	2
2015	BE0804	0	155	93	0.2086	0.185843282	1
2015	BE0823	0	155	111	0.2084	0.122786221	1
2015	BE0831	0	155	93	0.2039	0.16622786	1
2015	BE0834	0	155	116	0.1709	0.167064148	2
2015	BE0835.2	0	155	120	0.0681	0.212355188	2
2015	BE0841	0	155	71	0.1124	0.295766626	1
2015	BE0849	0	155	154	0.3997	0.180384028	2
2015	BE0851	0	155	193	0.257	0.286247164	2
2015	BE0853	0	155	168	0.1417	0.061384794	1
2015	BE0855	0	155	159	0.4381	0.289406238	2
2015	BE0856	0	155	182	0.1369	0.223394241	2
2015	BE0857	0	155	169	0.2415	0.112239009	2
2015	BE0858	0	155	174	0.2331	0.06957077	2
2015	BE0859	0	155	160	0.2515	0.2170701	1
2015	BE0860	0	155	270	0.1597	0.210796288	1
2015	BE0862	0	155	127	0.417	0.365995833	1
2014	DE483	0	156	184	0.017222222	0.349466263	2
2014	DE484	0	156	257	0.014777778	0.381443413	1
2014	DE485	0	156	160	0.015444444	0.298590079	2
2014	DE486	1	156	280	0.042333333	0	2
2014	DE487	0	156	405	0.143777778	0.113441486	1
2014	DE488	0	156	426	0.027333333	0.469898914	1
2014	DE489	0	156	134	0.072333333	0.130238219	2
2014	DE490	0	156	245	0.434333333	0.109063519	1
2014	DE491	0	156	212	0.019111111	0.42827446	1
2014	DE492	0	156	278	0.318333333	0.117804133	2
2014	DE493	0	156	192	0.083555556	0.15733249	1
2014	DE494	0	156	441	0.205	0.168923064	2
2014	DE495	0	156	303	0.014222222	0.286289888	1
2014	DE496	0	156	371	0.019666667	0.064673942	2
2014	DE497	0	156	389	0.413777778	0.301922938	2
2014	DE498	0	156	359	0.026	0.052476149	2
2014	DE499	0	156	367	0.016	0.112385671	2
2014	DE500	0	156	222	0.016222222	0.409158006	2
2014	DE501	0	156	413	0.408	0.214199195	2
2014	DE502	0	156	176	0.303777778	0.06305706	1
2014	DE503	0	156	173	0.030111111	0.347444989	1
2014	DE504	0	156	307	0.031888889	0.357225966	2
2014	DE505	0	156	435	0.025888889	0.298649474	1
2014	DE506	0	156	355	0.025444444	0.23938119	2
2014	DE507	0	156	384	0.022666667	0.192077621	2
2016	LE1030	0	160	390	0.142	0.2741523	1
