Year,Sample,CB,NV,WY,UT
2016,LE1046,0.1989,0.5528,0.246,0.0021
2016,WA020,0.2962,0.4061,0.2941,0.0037
2017,WA00242,0.1595,0.6419,0.1936,0.0051
2017,WA00243,0.1707,0.6375,0.1879,0.0037
2017,WA00245,0.1863,0.5756,0.2347,0.0036
2017,WA00244,0.1886,0.5958,0.2123,0.0036
2017,WA00197,0.2052,0.6304,0.1604,0.0039
2017,WA00246,0.1624,0.6912,0.14,0.006
2017,WA00198,0.1422,0.6324,0.2161,0.0088
2017,WA00241,0.1532,0.6472,0.1956,0.0039
2017,WA00202,0.1299,0.6676,0.1969,0.0055
2017,WA00094,0.1439,0.6432,0.2083,0.0046
2017,WA00201,0.1558,0.6827,0.1576,0.0039
2017,WA00203,0.1358,0.7066,0.1523,0.0055
2017,WA00095,0.1809,0.6351,0.18,0.0039
2017,WA00205,0.1965,0.6066,0.1922,0.0046
2017,WA00206,0.1965,0.6322,0.168,0.0036
2017,WA00096,0.1931,0.6032,0.1999,0.0038
2017,WA00204,0.1865,0.6818,0.1262,0.0055
2017,WA00207,0.1716,0.6219,0.2012,0.0055
2017,WA00214,0.1452,0.6371,0.2129,0.0046
2017,WA00215,0.1226,0.6667,0.2048,0.006
2017,WA00097,0.1363,0.6606,0.1999,0.0034
2017,WA00213,0.1736,0.6487,0.1729,0.0046
2017,WA00098,0.1333,0.6277,0.2342,0.005
2017,WA00099,0.1226,0.646,0.2237,0.0079
2017,WA00210,0.1527,0.6698,0.1729,0.0045
2017,WA00100,0.1375,0.7231,0.1282,0.011
2017,WA00101,0.1519,0.6775,0.1673,0.0036
2017,WA00102,0.1314,0.6303,0.2338,0.0045
2017,WA00103,0.1529,0.6147,0.2286,0.0037
2017,WA00104,0.1567,0.7084,0.1311,0.0038
2017,WA00105,0.143,0.6904,0.1617,0.005
2017,WA00208,0.0977,0.676,0.222,0.0041
2017,WA00106,0.1602,0.6355,0.2011,0.0032
2017,WA00107,0.1691,0.6724,0.1536,0.0051
2017,WA00108,0.1928,0.6535,0.1498,0.0039
2017,WA00109,0.1198,0.6534,0.2229,0.0038
2017,WA00110,0.1567,0.7082,0.1309,0.0044
2017,WA00111,0.1189,0.7293,0.1452,0.0069
2017,WA00189,0.1835,0.6474,0.1649,0.0043
2017,WA00112,0.1866,0.6334,0.1756,0.0046
2017,WA00113,0.171,0.6118,0.2115,0.0058
2017,WA00114,0.138,0.6404,0.2161,0.0055
2017,WA00115,0.1746,0.6609,0.1598,0.0046
2017,WA00116,0.128,0.6854,0.1832,0.0036
2017,WA00117,0.1237,0.7151,0.155,0.006
2017,WA00209,0.1558,0.698,0.1421,0.0041
2017,WA00211,0.1764,0.6718,0.1465,0.0053
2017,WA00212,0.1211,0.6478,0.2271,0.0039
2017,WA00118,0.1591,0.6125,0.2237,0.0046
2017,WA00190,0.1618,0.6121,0.2217,0.0044
2017,WA00119,0.1597,0.5993,0.2363,0.0046
2017,WA00120,0.1508,0.6421,0.2019,0.0054
2017,WA00121,0.1824,0.6648,0.148,0.0046
2017,WA00122,0.1623,0.6523,0.1799,0.0055
2017,WA00123,0.149,0.6644,0.1795,0.007
2017,WA00124,0.1202,0.696,0.1798,0.0043
2017,WA00125,0.1192,0.7121,0.1633,0.0054
2017,WA00126,0.1338,0.6965,0.1635,0.006
2017,WA00127,0.1293,0.705,0.1613,0.0044
2017,WA00128,0.1476,0.6694,0.1804,0.0028
2017,WA00129,0.1421,0.6965,0.1561,0.0054
2017,WA00221,0.1122,0.6782,0.2055,0.0043
2017,WA00130,0.1509,0.5942,0.251,0.0038
2017,WA00131,0.1526,0.662,0.1809,0.0046
2017,WA00132,0.1435,0.571,0.2816,0.0039
2017,WA00133,0.1271,0.6882,0.1796,0.0046
2017,WA00134,0.1173,0.7006,0.1779,0.0042
2017,WA00218,0.1198,0.6731,0.2036,0.0037
2017,WA00135,0.1526,0.6167,0.2258,0.0046
2017,WA00136,0.151,0.6566,0.1879,0.0046
2017,WA00151,0.1111,0.7136,0.1714,0.0039
2017,WA00152,0.1371,0.6416,0.2161,0.0051
2017,WA00220,0.1157,0.7041,0.1756,0.0046
2017,WA00153,0.1364,0.6722,0.1825,0.0089
2017,WA00154,0.1224,0.6655,0.2077,0.0043
2017,WA00155,0.1086,0.6428,0.2438,0.0046
